text,nostalgic
আবেগপূর্ণ সংগ্রহ গর্ব হয় ভিতরটা বড্ড নাড়া দেয় ৷,1
কি গান রে বাবা জিবনে যারে তুমি দাওনি মালা।,1
কর্মশালা হতে পরিশ্রান্ত স্রোতেরমতনকরুনাময়ীমা,1
হৃদয় ছুঁয়ে যাওয়া গানগুলো অনেক জায়গায় পাওয়া যায় কিনতু এগুলো সৃষ্টির পিছনের দেয়া তথ্যগুলো নতুন মাত্রা গানগুলোর পূর্ণতা এনে দিয়েছে। ধন্যবাদ দুজন পরিবেশককে।,1
সেই জন্য তো পুরনো যুগের গান শুনতে এতই ভালো লাগে আপনাদের ধন্যবাদ,1
আমি একটানা শুনছি কিন্তু একটুও একঘেয়েমি নেই। আমার ছোটবেলার গানগুলো কতদিন পর একসঙ্গে শুনছি সঙ্গে আমার অজানা অমূল্য অনেক তথ্যসমৃদ্ধ আপনাদের সম্পাদনা। অনেক ধন্যবাদ।,1
ভুলে যাওয়া এক স্বপ্নের এই গানের জগৎ অসংখ্য ধন‍্যবাদ,1
গান গুলো শুনতে শুনতে কোথায় যেন হারিয়ে যাচ্ছি। কোনো এক পুরোনো অজানা দেশে,1
সারেগামার উপহার আমি খুব এনজয় করি। তালাত মামুদ অসাধারণ,1
যখনি গান শুনি আমি মনদিয়ে আপনাদের পরিবেশিত এই গান শুনি ও নিজেকে সমৃদ্ধ করি। আপনাদের সকলকে ধন্যবাদ জানাই।,1
এই গানগুলো শুনলেই ছোট বেলার নানা মধুর স্মৃতি মনকে আনন্দে ভরিয়ে তোলে । এসব স্বর্ণযুগের গান মনি মুক্তা ও হীরার চাইতেও অনেক অনেক দামী । এই গানগুলো চিরকাল বাঙালিদের মনে বেঁচে থাকবে । সেযুগের সমস্ত গীতিকার সুরকার ও সঙ্গীত শিল্পীদের স্বশ্রদ্ধ প্রনাম জানাই ।,1
আজীবন শুনে যাবো অনুরোধের আসর। জ্ঞান হওয়ার পর থেকে আজ পর্যন্ত শুনেও মন ভরেনা। ঠাকুর্দা মাবাবা দাদাদিদিদের সঙ্গে গান শুনতে শুনতে বড় হলাম।,1
হারিয়ে যাওয়া দিন গুলি যেন ফিরে পেলাম। এখনের গানে সেই প্রানের ছোঁয়া কৈ একবার শোনার পর ভূলে যেতে হয়। অনবদ্য সৃষ্টি আর হচ্ছে না। হয়তো সময় বাধা দিচ্ছে।,1
এ গান মন খারাপ করে দেয়,1
কিছু বলার ভাষা জানা নেইআমার জন্মের ও আগে অনেক গুলি গান অথচ মনের গভীরে দোলা দিয়ে যায়আমার কৈশর কালেও পূজার নূতন নূতন গানের টানে পূজার প্যান্ডেল গুলো একে অপরকে টেক্কা দিতশুধুই বাংলা গানকে নিরভর করে।,1
