id,text,label,clean_text,reference_time
Ugwl4l0vTcmclYNR21d4AaABAg,গানগুলো কখনো পুরনো হবে না❤,0,গানগুলো কখনো পুরনো হবে না,2025-12-22T18:45:45Z
Ugxn7ZMcwj2irXV8Cjl4AaABAg,আমাদের মাদার টেরেসা প্রয়োজন❤,1,আমাদের মাদার টেরেসা প্রয়োজন,2025-10-30T23:34:41Z
UgwJ-VtBdgk3nxzZpbh4AaABAg,"Dec 19/25 আমি মুম্বাই শহরে বসে এই গানগুলি সুনছি,",1,"Dec 19/25 আমি মুম্বাই শহরে বসে এই গানগুলি সুনছি,",2025-12-19T08:59:11Z
Ugw4L2lOuIGhVp0ZWPx4AaABAg,এটা একটা লিফট,0,এটা একটা লিফট,2025-10-20T09:04:03Z
UgxUjgbQtezxWJjGpMp4AaABAg,এটা সেই সময়,1,এটা সেই সময়,2025-10-20T08:05:12Z
UgwHomVya7VoQssMg7R4AaABAg,"এই ভাবে গান না ছাড়াই ভালো,, কারণ ডাউনলোড করে রাখা যায় না,,,,,",1,"এই ভাবে গান না ছাড়াই ভালো,, কারণ ডাউনলোড করে রাখা যায় না,,,,,",2025-11-07T17:21:31Z
Ugx7LZN3lOYqjWCqMit4AaABAg,আমার প্রিয় একটা গান।  যতই শুনি পুরানো হয় না।,0,আমার প্রিয় একটা গান। যতই শুনি পুরানো হয় না।,2025-11-30T08:01:49Z
UgxKP7c9-jceNpXgGVp4AaABAg,তোমারি গান খুব সুন্দর লাগছে দিদি অপূর্ব দিদি ভাই হরি বল ধন্যবাদ নাই আমি তোমার দিদি ধন্যবাদ কে আমার অনেককে বসাই জিও কলেজ বৃষ্টি হাসপাতালের ধন্যবাদ দিদি দাদা আপনাকে স্বাগতম ধন্যবাদ অনেক অনেক সুন্দর আপনাকে স্বাগতম ধন্যবাদ অনেক সুন্দর অনেক আপনাকে ধন্যবাদ স্বাগতম সনাতন ধর্মের ধর্ম দিদি অনেক ধন্যবাদ দাদা অনেক দিদি ধন্যবাদ আজ থেকে তোমার হলাম আই লাভ ইউ,1,তোমারি গান খুব সুন্দর লাগছে দিদি অপূর্ব দিদি ভাই হরি বল ধন্যবাদ নাই আমি তোমার দিদি ধন্যবাদ কে আমার অনেককে বসাই জিও কলেজ বৃষ্টি হাসপাতালের ধন্যবাদ দিদি দাদা আপনাকে স্বাগতম ধন্যবাদ অনেক অনেক সুন্দর আপনাকে স্বাগতম ধন্যবাদ অনেক সুন্দর অনেক আপনাকে ধন্যবাদ স্বাগতম সনাতন ধর্মের ধর্ম দিদি অনেক ধন্যবাদ দাদা অনেক দিদি ধন্যবাদ আজ থেকে তোমার হলাম আই লাভ ইউ,2025-10-20T06:34:07Z
UgxApjPFT7o741_YIIx4AaABAg,ডাউনলোড গান সেটিং,0,ডাউনলোড গান সেটিং,2025-12-07T05:39:48Z
UgwuCcGuI5lwy7x27K14AaABAg,2025 সালে আমি শুনে গেলাম,1,2025 সালে আমি শুনে গেলাম,2025-10-30T01:10:04Z
