id,text,label,clean_text,reference_time
UgwpO-G1KOdcbKpBwmh4AaABAg,কলিজা ফেটে যাচ্ছে 😭🥹,-1,কলিজা ফেটে যাচ্ছে,2025-12-19T05:18:31Z
Ugw6yNubTSAOvX-_bs94AaABAg,"আল্লাহ আদি 
ভাইকে জান্নাতুল ফেরদৌস নসিব করিও",-1,আল্লাহ আদি ভাইকে জান্নাতুল ফেরদৌস নসিব করিও,2025-12-19T05:21:24Z
Ugy-E7MvwRjC7pBMNOB4AaABAg,"এমন জীবন তুমি করিও গঠন ... মরিলে হাঁসিবে তুমি কাঁদিবে ভুবন😔

A perfectly reasonable example....",-1,এমন জীবন তুমি করিও গঠন ... মরিলে হাঁসিবে তুমি কাঁদিবে ভুবন A perfectly reasonable example....,2025-12-19T06:51:50Z
UgzlYkK2haJrVKEeX-h4AaABAg,প্রজন্মের পর প্রজন্ম হাদীর নাম এই দেশের ইতিহাসের পাতায় থেকে যাবে। ওসমান হাদী ভাই এই যুগের শহীদ তিতুমীর।😭😢😢,-1,প্রজন্মের পর প্রজন্ম হাদীর নাম এই দেশের ইতিহাসের পাতায় থেকে যাবে। ওসমান হাদী ভাই এই যুগের শহীদ তিতুমীর।,2025-12-19T05:08:50Z
Ugz4aqe5tdrfmiV8GZN4AaABAg,বুকটা ফেটে যায় রে ভাই 💔💔💔💔😥,-1,বুকটা ফেটে যায় রে ভাই,2025-12-19T05:49:46Z
Ugw0_rvWXpMnzZ3i7AF4AaABAg,"ভেতরটা ধুমরে মুচরে  যাচ্ছে । আল্লাহ তুমি হাদি ভাই কে জান্নাতের উচ্চ মকাম দান করুক, আমিন।",-1,"ভেতরটা ধুমরে মুচরে যাচ্ছে । আল্লাহ তুমি হাদি ভাই কে জান্নাতের উচ্চ মকাম দান করুক, আমিন।",2025-12-19T06:22:03Z
Ugw3cNhHQdyDcTD54c14AaABAg,এই জুমার দিনে তুমার খবরটা জখন সুনলাম তুমি নাই কলিজাটা ফেটে চুরমার হয়ে গেলো আল্লাহ তোমাকে সহিদ হিসাবে কবুল করুন আমিন ❤️❤️❤️❤️😂😂😂,-1,এই জুমার দিনে তুমার খবরটা জখন সুনলাম তুমি নাই কলিজাটা ফেটে চুরমার হয়ে গেলো আল্লাহ তোমাকে সহিদ হিসাবে কবুল করুন আমিন ️️️️,2025-12-19T05:36:24Z
Ugwip2vY0A4fozTjMyx4AaABAg,আল্লাহ হাদী ভাইকে জান্নাত দান করুন।,-1,আল্লাহ হাদী ভাইকে জান্নাত দান করুন।,2025-12-19T05:26:08Z
Ugyq3zUoMbX45Hof5at4AaABAg,ওসমান হাদি ভাই আমার    তোমার নাম থাকবে ইতিহাসের পাতায়       ইয়া আল্লাহ তুমি ওসমান হাদি ভাই কে   জান্নাত দান করো আল্লাহ,-1,ওসমান হাদি ভাই আমার তোমার নাম থাকবে ইতিহাসের পাতায় ইয়া আল্লাহ তুমি ওসমান হাদি ভাই কে জান্নাত দান করো আল্লাহ,2025-12-21T13:40:55Z
Ugzqx1Fvyr1mubFrnOJ4AaABAg,ভাই তোরা এই খবর টা আর প্রচার করিস না কারণ চোখের পানি ধরে রাখা যায় না,-1,ভাই তোরা এই খবর টা আর প্রচার করিস না কারণ চোখের পানি ধরে রাখা যায় না,2025-12-19T05:22:17Z
UgzgHuConcB_7fKBB0R4AaABAg,হে আল্লাহ আপনি ভাইটাকে জান্নাত দান করুন।,-1,হে আল্লাহ আপনি ভাইটাকে জান্নাত দান করুন।,2025-12-19T06:11:53Z
Ugw72SAI6_I9chS5HBB4AaABAg,ভাইকে জান্নাত বাসি করুক 40 জন আমিন বলো..!!😌💔,-1,ভাইকে জান্নাত বাসি করুক 40 জন আমিন বলো..!!,2025-12-19T14:14:03Z
UgxJQ0tApAg61dg0yNF4AaABAg,বাংলাদেশের ইতিহাসে হাদীর নাম চিরস্মরনীয় হয়েই থাকবেই ইনশাআল্লাহ। আল্লাহ পাক সবাইকেই হেফাজত রাখুন ও ঐক্যবদ্ধ হয়েই সকল ষড়যন্ত্র মোকাবিলার তৌফিক দান করুন। আমিন,-1,বাংলাদেশের ইতিহাসে হাদীর নাম চিরস্মরনীয় হয়েই থাকবেই ইনশাআল্লাহ। আল্লাহ পাক সবাইকেই হেফাজত রাখুন ও ঐক্যবদ্ধ হয়েই সকল ষড়যন্ত্র মোকাবিলার তৌফিক দান করুন। আমিন,2025-12-19T09:09:06Z
Ugz_wmgAC_uyXFEV4KZ4AaABAg,খুবি কষ্ট লাগে এই কথা গুলো শুনলে আল্লাহ তুমি বির হিসেবে জান্নাতি  করে দিয়েন,-1,খুবি কষ্ট লাগে এই কথা গুলো শুনলে আল্লাহ তুমি বির হিসেবে জান্নাতি করে দিয়েন,2025-12-19T12:31:51Z
Ugy40B-pYwNiTomNM014AaABAg,আল্লার হুকুমে মানুষের মৃত্যু।,-1,আল্লার হুকুমে মানুষের মৃত্যু।,2025-12-20T08:58:30Z
UgwekINzWx3gAgGYOTR4AaABAg,আল্লাহ যেন তোমাকে শহীদ হিসেবে কবুল করে নেয়  আমিন।,-1,আল্লাহ যেন তোমাকে শহীদ হিসেবে কবুল করে নেয় আমিন।,2025-12-19T06:01:44Z
Ugw_IQIuQGfQxzG4fPx4AaABAg,তাঁর আত্নার শান্তিকামনা করি। আল্লাহ যেন বেহেশত নসীব করেন। আল্লাহ যেন তাঁর পরিবারকে এই কষ্ট সহ্য করার শক্তি দেন। আমিন,-1,তাঁর আত্নার শান্তিকামনা করি। আল্লাহ যেন বেহেশত নসীব করেন। আল্লাহ যেন তাঁর পরিবারকে এই কষ্ট সহ্য করার শক্তি দেন। আমিন,2025-12-19T14:18:30Z
UgxwWj_313vvOJm0SJ54AaABAg,প্রতিবেদনটা দেখে মনের অজান্তে চোখে পানি চলে আসছে😭😭,-1,প্রতিবেদনটা দেখে মনের অজান্তে চোখে পানি চলে আসছে,2025-12-19T14:11:51Z
UgxO8jYMVlo6lD3XOmJ4AaABAg,"আল্লাহ জান্নাতের হুরের সাথে তার বিছানায় শোয়ার ব্যবস্থা করুক। 
আমিন।",-1,আল্লাহ জান্নাতের হুরের সাথে তার বিছানায় শোয়ার ব্যবস্থা করুক। আমিন।,2025-12-20T06:13:57Z
UgxcndDpBd-QeEy1lzl4AaABAg,আল্লাহ হাদী ভাই কে জান্নাতের পাখি বানিও।হাদী ভাই এর পরিবারকে এবং তার সন্তান কে হেফাজত করুন আমিন।,-1,আল্লাহ হাদী ভাই কে জান্নাতের পাখি বানিও।হাদী ভাই এর পরিবারকে এবং তার সন্তান কে হেফাজত করুন আমিন।,2025-12-19T10:48:29Z
