id,text,label,clean_text,reference_time
UgyQnfoCUtKCnw0MDFR4AaABAg,"আমি ফেসবুকে আছি  - https://www.facebook.com/saifzohanofficial
ইনস্টাগ্রামেও আছি  - https://www.instagram.com/saifzohan",-1,আমি ফেসবুকে আছি - ইনস্টাগ্রামেও আছি -,2025-04-15T04:54:18Z
UgxYzsB7g9T1-1p5fFd4AaABAg,"গানটা কেউ শুনতে আসলে আমাকে একটা লাইক দিয়ে জায়েন, তাহলে আবার আমার মনে পরবে গানটা শুনতে হবে সেই কথা।",-1,"গানটা কেউ শুনতে আসলে আমাকে একটা লাইক দিয়ে জায়েন, তাহলে আবার আমার মনে পরবে গানটা শুনতে হবে সেই কথা।",2024-09-29T08:58:35Z
UgyOBBwK2fqipVp_fdZ4AaABAg,এই গানটা কেউ শুনতে আসলে আমাকে একটা লাইক দিয়ে আমাকে শোনাও সুযোগ করে দিও 😢😢😢,-1,এই গানটা কেউ শুনতে আসলে আমাকে একটা লাইক দিয়ে আমাকে শোনাও সুযোগ করে দিও,2024-09-26T06:38:14Z
UgzK1O5-f1_KLshDdsR4AaABAg,নোটিফিকেশন পেলে আবার হারানো  শৈশব কে শুনব!!,-1,নোটিফিকেশন পেলে আবার হারানো শৈশব কে শুনব!!,2025-10-15T04:56:38Z
UgxQX19Ui_Tn8P8wGiV4AaABAg,"সত্যি অনেক অনেক প্রিয় একটা গান আমার......... যে সুনবে আমাকে একটা লাইক দিয়ে দিও আমিও সুনবো খুব সুন্দর করে,,,,,,, 🥰😍",-1,"সত্যি অনেক অনেক প্রিয় একটা গান আমার......... যে সুনবে আমাকে একটা লাইক দিয়ে দিও আমিও সুনবো খুব সুন্দর করে,,,,,,,",2025-11-14T23:59:05Z
UgxPUY6A-jFPurkjOJB4AaABAg,গানটা কেউ শুনতে আসলে আমাকে লাইক দিয়েন আবার শুনতে আসবো..😢,-1,গানটা কেউ শুনতে আসলে আমাকে লাইক দিয়েন আবার শুনতে আসবো..,2025-05-02T13:15:53Z
UgyOZ_P7jg_1fZHvLzJ4AaABAg,নোটিফিকেশন পেলে আবার শুনতে আসব 😊,-1,নোটিফিকেশন পেলে আবার শুনতে আসব,2025-09-11T15:43:34Z
Ugw8g3CIgxGHvqnUMmh4AaABAg,কমেন্ট রেখে গেলাম কেউ লাইক দিয়ে নোটিফিকেশন পাটাইলে আবার গান টা শুনব,-1,কমেন্ট রেখে গেলাম কেউ লাইক দিয়ে নোটিফিকেশন পাটাইলে আবার গান টা শুনব,2025-10-15T03:45:10Z
UgySkMjaeyYcqVbgitZ4AaABAg,আবার দেখার সুযোগ করে দিয়েন লাইক দিয়ে,-1,আবার দেখার সুযোগ করে দিয়েন লাইক দিয়ে,2025-09-15T10:09:09Z
Ugwf9Qi7Kuu2UfaX0r14AaABAg,"এই গানটি কেউ শুনতে আসলে কমেন্ট আমাকে একটা লাইক দিয়েন, আমি আবার গান টা শোনবো😢😢 আর ফিরে যাবো শৈশবে😢",-1,"এই গানটি কেউ শুনতে আসলে কমেন্ট আমাকে একটা লাইক দিয়েন, আমি আবার গান টা শোনবো আর ফিরে যাবো শৈশবে",2025-06-27T17:55:58Z
UgyrXWrmH0YfeGQqIbl4AaABAg,"ছোটো একটা কমেন্ট করতে চাই,  যেনো প্রতি কমেন্টের লাইকের প্রতিরূপ একবার করে শোনা হয় গানটা❤️",-1,"ছোটো একটা কমেন্ট করতে চাই, যেনো প্রতি কমেন্টের লাইকের প্রতিরূপ একবার করে শোনা হয় গানটা️",2025-04-21T07:13:16Z
UgyMkssJSjkBW6UiZF14AaABAg,"ভাই বিশ্বাস করেন বিমানে বসে গান টা শুলাম 
৪ বছর পর দেশে আসতাছি বন্ধু তদের অনেক মিস করছি❤❤❤
বলছিলাম না মামা কান্না করিস না সফল হয়ে আসবো ইনশাআল্লাহ তর বন্ধু সফল হয়ছে 
ভাই নক দিও আবার আসবো",-1,ভাই বিশ্বাস করেন বিমানে বসে গান টা শুলাম ৪ বছর পর দেশে আসতাছি বন্ধু তদের অনেক মিস করছি বলছিলাম না মামা কান্না করিস না সফল হয়ে আসবো ইনশাআল্লাহ তর বন্ধু সফল হয়ছে ভাই নক দিও আবার আসবো,2025-10-26T18:09:55Z
UgwksuXudUTmIsp6_fJ4AaABAg,"আমি শিউর দিয়ে বলতে পারি ইউটিউব আপনাকে এই গানটা সাজেস্ট করেনি,😊আপনি এই গানটাকে সার্চ দিয়ে শুনছেন এবং মনের তৃষ্ণাটা তৃপ্তি সহকারে মিটাছেন একদম গভীর থেকে অনুভব করে।😌🥀",-1,"আমি শিউর দিয়ে বলতে পারি ইউটিউব আপনাকে এই গানটা সাজেস্ট করেনি,আপনি এই গানটাকে সার্চ দিয়ে শুনছেন এবং মনের তৃষ্ণাটা তৃপ্তি সহকারে মিটাছেন একদম গভীর থেকে অনুভব করে।",2025-04-18T19:29:57Z
UgxGuXi6Lwr3RXeSxod4AaABAg,"2025,  এ কমেন্টা সৃতি হিসেবে রেখে গেলাম,  পরের জন্মে 😅 ভাই তোমরা দেখে নিও,",-1,"2025, এ কমেন্টা সৃতি হিসেবে রেখে গেলাম, পরের জন্মে ভাই তোমরা দেখে নিও,",2025-02-15T06:23:42Z
UgwC9NLvCyYFNDJb93R4AaABAg,"প্রিয় মানুষ ছেড়ে চলে যাবে! বেস্টফ্রেন্ড অন্য বেস্টফ্রেন্ড বানাবে! ফ্যামিলি প্রবলেম বেড়ে যাবে! ""ডিপ্রেসড"" লাগবে! “একাকীত্ব” ডুবে যাবে; তবুও থেমে থাকা যাবে না জীবন সুন্দর। 🌸",-1,"প্রিয় মানুষ ছেড়ে চলে যাবে! বেস্টফ্রেন্ড অন্য বেস্টফ্রেন্ড বানাবে! ফ্যামিলি প্রবলেম বেড়ে যাবে! ""ডিপ্রেসড"" লাগবে! “একাকীত্ব” ডুবে যাবে; তবুও থেমে থাকা যাবে না জীবন সুন্দর।",2024-05-18T06:20:01Z
UgwyjzHshskmSPAIZuR4AaABAg,"আমার মতো কে কে প্রবাসীরা এই গান টা সোনো,, একটা লাইক দীও আবার আসো সোনতে 😭😭😭🥹",-1,"আমার মতো কে কে প্রবাসীরা এই গান টা সোনো,, একটা লাইক দীও আবার আসো সোনতে",2025-07-28T16:52:17Z
UgyL69z4O4xGP5h2g8l4AaABAg,-ফেরা সম্ভব নয় বলেই শৈশবকে এতো সুন্দর মনে হয়😊💗,-1,-ফেরা সম্ভব নয় বলেই শৈশবকে এতো সুন্দর মনে হয়,2024-05-09T17:43:36Z
UgwFADzeihsf3QzZs1d4AaABAg,"সৃতি হিসাবে কমেন্ট করে রেখে গেলাম,২০২৫/০৯/১৪ এই জেনারেশনের জন্য 
 যিনি গানটি লিখছেন অসংখ্য ধন্যবাদ  আপনাকে,
আবার গানটি শুনতে আসব কেউ লাইক দিলে",-1,"সৃতি হিসাবে কমেন্ট করে রেখে গেলাম,২০২৫/০৯/১৪ এই জেনারেশনের জন্য যিনি গানটি লিখছেন অসংখ্য ধন্যবাদ আপনাকে, আবার গানটি শুনতে আসব কেউ লাইক দিলে",2025-09-14T17:07:38Z
UgxTL_CIeBTutUU1Ep94AaABAg,আবার শৈশবে ফিরে যেতে পারলে কোন সময়টাতে যেতেন ?,-1,আবার শৈশবে ফিরে যেতে পারলে কোন সময়টাতে যেতেন ?,2024-05-01T10:45:14Z
UgzAe_zjgXEbMkTCHaZ4AaABAg,সবাই ভিডিওটি শেয়ার করবেন 💙 কেমন লাগলো তা কমেন্টে জানিয়ে দেবেন 💙,-1,সবাই ভিডিওটি শেয়ার করবেন কেমন লাগলো তা কমেন্টে জানিয়ে দেবেন,2021-09-01T10:53:42Z
UgwVb_qgUiBgDeFwKaR4AaABAg,কোটি টাকা দিয়েও কিনা যাবেনা সেই সোনালী দিনগুলো ❤️❤️😊😥,-1,কোটি টাকা দিয়েও কিনা যাবেনা সেই সোনালী দিনগুলো ️️,2021-09-07T13:43:38Z
Ugzg1Lm9utSv-8mrgY14AaABAg,সত্যি অসাধারণ আগের দিন গুলো অনেক সুন্দর ছিলো,-1,সত্যি অসাধারণ আগের দিন গুলো অনেক সুন্দর ছিলো,2021-09-01T10:58:48Z
Ugy4ZK4Q1Dt2Y5AtH7t4AaABAg,"আগের দিনের সৃতিগুলো মনে পরতেই, 
কেমন জানি মনটা কষ্টে আঁকড়ে উঠলো। এই দিন গুলো ৯০ দশকের কেউই ভুলতে পারবে না।😭",-1,"আগের দিনের সৃতিগুলো মনে পরতেই, কেমন জানি মনটা কষ্টে আঁকড়ে উঠলো। এই দিন গুলো ৯০ দশকের কেউই ভুলতে পারবে না।",2023-04-01T13:54:57Z
Ugyuoa0s8Xn_XzT6U4t4AaABAg,স্মৃতি হিসেবে একটা কমেন্ট করেগেলাম যখনই কেও লাইক দিবে তখন আবারও এই ভিডিও টা দেখব,-1,স্মৃতি হিসেবে একটা কমেন্ট করেগেলাম যখনই কেও লাইক দিবে তখন আবারও এই ভিডিও টা দেখব,2024-10-02T06:04:51Z
Ugw_Gd-WNs4jTxD-ZVd4AaABAg,দিন গুলো মনে পরলে বুক টা ফেটে কান্না আসে 😭😭😭😭😭,-1,দিন গুলো মনে পরলে বুক টা ফেটে কান্না আসে,2025-10-22T23:13:50Z
Ugxe0JnlOlpswHDBGb14AaABAg,কোথায় হারিয়ে গেল আমার সেই সোনালী রঙের দিনগুলি।মাথা কুটে মরলে ও আর ফিরে পাব না।স্মৃতি গুলো উস্কে দেওয়ার জন্য অনেক অনেক ধন্যবাদ আপনাকে। ইন্ডিয়া মুর্শিদাবাদ থেকে বলছি।,-1,কোথায় হারিয়ে গেল আমার সেই সোনালী রঙের দিনগুলি।মাথা কুটে মরলে ও আর ফিরে পাব না।স্মৃতি গুলো উস্কে দেওয়ার জন্য অনেক অনেক ধন্যবাদ আপনাকে। ইন্ডিয়া মুর্শিদাবাদ থেকে বলছি।,2021-10-02T06:38:07Z
UgwU-uzhFGQct6DtRPl4AaABAg,"ইনশাআল্লাহ 
পরকালে মহান আল্লাহ আমাদের 
এমন হাজারো আক্ষেপ ঘুছিয়ে চিরো সুখের জান্নাত দান করবেন।",-1,ইনশাআল্লাহ পরকালে মহান আল্লাহ আমাদের এমন হাজারো আক্ষেপ ঘুছিয়ে চিরো সুখের জান্নাত দান করবেন।,2023-03-25T08:32:11Z
UgxFz8Vig9w4h34wYB14AaABAg,আগেকার দিনগুলো অনেক মিস করি খুব দুঃখ লাগে  স্মৃতি গুলো যখন মনে হয় মাথার ভিতরে নাড়া দিয়ে ওঠে,-1,আগেকার দিনগুলো অনেক মিস করি খুব দুঃখ লাগে স্মৃতি গুলো যখন মনে হয় মাথার ভিতরে নাড়া দিয়ে ওঠে,2023-05-04T03:03:19Z
UgwAEBVLdszvNrQJCp14AaABAg,ভাই এগুলো দেখে আমার চোখ দিয়ে পানি বেরিয়ে এসেছে মনটার ভিতরে অনেক আনন্দ পেয়েছি ছোট্ট বেলার কথাগুলো সব মনে পড়ে গেছে,-1,ভাই এগুলো দেখে আমার চোখ দিয়ে পানি বেরিয়ে এসেছে মনটার ভিতরে অনেক আনন্দ পেয়েছি ছোট্ট বেলার কথাগুলো সব মনে পড়ে গেছে,2023-12-26T14:43:03Z
UgwsgT2osAY8ZkQXqlZ4AaABAg,আমি আগের দিন নের কথা ভাবলে এখন আমি কেঁদে ফেলি সত্যি সেই সব দিন গুলো কখন ভুলা যাবে না ❤❤❤,-1,আমি আগের দিন নের কথা ভাবলে এখন আমি কেঁদে ফেলি সত্যি সেই সব দিন গুলো কখন ভুলা যাবে না,2025-05-29T01:44:07Z
UgyXIxlg3nVhxnrst914AaABAg,খুব মিস করি সেই দিন গুলো😩🙂💔,-1,খুব মিস করি সেই দিন গুলো,2021-09-01T10:56:38Z
UgyuSDwjPcFPKewz5hl4AaABAg,চোখে পানি এসে পড়ে সেই হারানো শৈশবের কথা মনে পড়লে কত আনন্দেই না  ছিলাম,-1,চোখে পানি এসে পড়ে সেই হারানো শৈশবের কথা মনে পড়লে কত আনন্দেই না ছিলাম,2023-04-29T07:46:04Z
UgyLMiG6EdiWxH95fOV4AaABAg,শৈসব কে অনেক মিস করি😔😔😔,-1,শৈসব কে অনেক মিস করি,2021-09-01T12:01:14Z
UgxTVAYSrAasVeOkkg14AaABAg,হাজার চেষ্টা করলেও আর কোনোদিন সেই দিনগুলো পাবো না 😢,-1,হাজার চেষ্টা করলেও আর কোনোদিন সেই দিনগুলো পাবো না,2025-12-13T16:32:45Z
UgxzoeoEK9UAqxpSJcZ4AaABAg,😢😢😢😢😢সেই দিন আর নেই গো। মনে পড়লে বুকটা কেঁপে যাই,-1,সেই দিন আর নেই গো। মনে পড়লে বুকটা কেঁপে যাই,2025-12-17T14:36:32Z
Ugyg1mR5ZkSIpMXx5BB4AaABAg,"ঐ দিন গুলো স্বর্নের দিন ছিলো, মানুষে মানুষে কত মহব্বত, কত সম্মান,  কত সুন্দর সামাজিকতা, কত মানবিকতা, আহ--! কি দিন ছিলো রে ভাই--! আর এখন মনে হয় জন্মটাই যন্ত্রনা",-1,"ঐ দিন গুলো স্বর্নের দিন ছিলো, মানুষে মানুষে কত মহব্বত, কত সম্মান, কত সুন্দর সামাজিকতা, কত মানবিকতা, আহ--! কি দিন ছিলো রে ভাই--! আর এখন মনে হয় জন্মটাই যন্ত্রনা",2023-03-04T15:43:16Z
Ugzm5dOTsFW-KbqFfrZ4AaABAg,"আপনার প্রতিটা কথা,,,
আমার জীবনের সাথে,,,,,
মিলে গেছে,,,,,।।
চোখে পানি চলে এসেছে 😢
খুব মিস করছি,,,, সেই দিন গুলো 😢",-1,"আপনার প্রতিটা কথা,,, আমার জীবনের সাথে,,,,, মিলে গেছে,,,,,।। চোখে পানি চলে এসেছে খুব মিস করছি,,,, সেই দিন গুলো",2023-07-02T13:28:37Z
UgwmJskq8PXqI-gL8hl4AaABAg,"মনে পড়ে সেই শৈশবের দিন গুলি,,,

কান্না চলে আসে,,,,",-1,"মনে পড়ে সেই শৈশবের দিন গুলি,,, কান্না চলে আসে,,,,",2023-03-13T09:10:54Z
UgxWGUBSJeIqMV_vtAN4AaABAg,মিস করি আবারও সেই দিন পিরে এলে সেটা  খুব ভালো হতো,-1,মিস করি আবারও সেই দিন পিরে এলে সেটা খুব ভালো হতো,2025-12-16T17:38:19Z
Ugz0n0VYDVlLmYXVG6h4AaABAg,গানটির ভাষা প্রবল অর্থবহ।যার কণায় কণায় আছে প্রতিটি মানুষের শৈশবের স্মৃতির মধুমাখা সময়।,-1,গানটির ভাষা প্রবল অর্থবহ।যার কণায় কণায় আছে প্রতিটি মানুষের শৈশবের স্মৃতির মধুমাখা সময়।,2025-03-30T18:16:07Z
UgxViIc1wseYBxo8cWp4AaABAg,অনেক স্মৃতি রয়েছে এই গানের সঙ্গে,-1,অনেক স্মৃতি রয়েছে এই গানের সঙ্গে,2025-11-13T16:26:22Z
Ugzn7TRbny7DaKNCYkV4AaABAg,চোখ বন্ধ করে গানটা সুনলাম কিছু সময়ের জন্য শৈশবে ফিরে গেলাম💔কতইনা ছিলো সে সময়টা💔,-1,চোখ বন্ধ করে গানটা সুনলাম কিছু সময়ের জন্য শৈশবে ফিরে গেলামকতইনা ছিলো সে সময়টা,2025-07-23T19:45:50Z
UgzMWRxaC8Pg82sxXkd4AaABAg,গানটার সাথে কী এমন আছে যে শুনলে আর চোখের পানি ধরে রাখতে পারি না,-1,গানটার সাথে কী এমন আছে যে শুনলে আর চোখের পানি ধরে রাখতে পারি না,2025-03-31T06:04:08Z
Ugyor8l5LvsJ-uSefS14AaABAg,1:30 অনেক বছর পরে খুজে ফিরি 😟🥺🥹🥺😢 এসব ভাবলে  কত কষ্ট লাগে সেটা বলে বোঝানো যাবেনা। সত্যি মানব জীবন টা অনেক রহস্যময় ✅,-1,1:30 অনেক বছর পরে খুজে ফিরি এসব ভাবলে কত কষ্ট লাগে সেটা বলে বোঝানো যাবেনা। সত্যি মানব জীবন টা অনেক রহস্যময়,2025-08-02T12:35:58Z
Ugw_GDGpSWl68uTKZOV4AaABAg,গানটা খুব সুন্দর ❤,-1,গানটা খুব সুন্দর,2025-10-16T09:59:04Z
UgyfwbDoDiUMBZGkAMJ4AaABAg,সত্যি শৈশবকালটা অনেক মজার আছে 💝💖💓💞💕🥹,-1,সত্যি শৈশবকালটা অনেক মজার আছে,2025-12-17T10:31:54Z
