id,text,label,clean_text,reference_time
UgzkfsrsnkdqUOmEaMt4AaABAg,ছোটো বেলায় স্কুলে না গিয়ে।গাছের আম আর সুপারি চুরি করে হাটে গিয়ে বিক্রি করতাম।আর চা দোকানে বসে চা বিস্কুট খাইতাম আর ছবি দেখতাম।সে রুপালি দিন গুলি কি ফিরে আসবে।i miss u,1,ছোটো বেলায় স্কুলে না গিয়ে।গাছের আম আর সুপারি চুরি করে হাটে গিয়ে বিক্রি করতাম।আর চা দোকানে বসে চা বিস্কুট খাইতাম আর ছবি দেখতাম।সে রুপালি দিন গুলি কি ফিরে আসবে।i miss u,2021-02-07T06:24:58Z
UgwpPrAzUKAF5pYJWM94AaABAg,২০২৫সালে  যারা যারা শুনছেন  তারাই লাইক দিবেন স্মৃতি রেখে গেলাম । আমরা থাকবো না তবে গানগুলো থেকে যাবে।❤,1,২০২৫সালে যারা যারা শুনছেন তারাই লাইক দিবেন স্মৃতি রেখে গেলাম । আমরা থাকবো না তবে গানগুলো থেকে যাবে।,2025-01-01T15:28:19Z
UgxS8qM-CzxRSbiNy7J4AaABAg,আমি এই গান দিয়ে প্রতিদিন সকালে নাচি😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,1,আমি এই গান দিয়ে প্রতিদিন সকালে নাচি,2024-11-09T14:13:45Z
UgxHBDKYBmqI6_rQjhZ4AaABAg,2024 সালে এসে কে কে আইছো??😹😹😹,1,2024 সালে এসে কে কে আইছো??,2024-12-28T12:16:52Z
Ugy3xu54htEXzW7HteZ4AaABAg,রেখে গেলাম স্মৃতি.........যদি কখনো কেউ লাইক দেয় তবে নোটিফিকেশন এসে আবার শুনে যাব এই গানটা........❤❤❤❤❤,1,রেখে গেলাম স্মৃতি.........যদি কখনো কেউ লাইক দেয় তবে নোটিফিকেশন এসে আবার শুনে যাব এই গানটা........,2025-06-06T02:31:54Z
UgwxztckFB6qO32PdsN4AaABAg,"মানুষ একদিন পদ্ধা সেতুর দাম সুদ করতে পারবে,, কিন্তু এই গানের ,, দাম কোনো দিন সুদ করতে পারবে না । গান গুলোকে অনেক মিস করি,,।  বিশেষ করে,, ছোট্ট বেলার সময় গুলো,,  I miss you  all",1,"মানুষ একদিন পদ্ধা সেতুর দাম সুদ করতে পারবে,, কিন্তু এই গানের ,, দাম কোনো দিন সুদ করতে পারবে না । গান গুলোকে অনেক মিস করি,,। বিশেষ করে,, ছোট্ট বেলার সময় গুলো,, I miss you all",2023-05-08T15:21:45Z
UgwWU1ezuF1dU9gcf8p4AaABAg,ছোট্ট বেলার স্মৃতি বিজড়িত গান 2023 এসেও দেখছি,1,ছোট্ট বেলার স্মৃতি বিজড়িত গান 2023 এসেও দেখছি,2023-05-01T03:29:30Z
UgxHDg_x-9yK1KFcCRJ4AaABAg,"ওরা কারা যারা ভাবতেন আমার মত শাবানা আলমগীর স্বামী স্ত্রী 
লাইক প্লিজ",1,ওরা কারা যারা ভাবতেন আমার মত শাবানা আলমগীর স্বামী স্ত্রী লাইক প্লিজ,2021-01-17T04:16:29Z
UgznrQDpALOnafkFlxV4AaABAg,"আগে এই গান গুলো বিটিভিতে শুনতাম। 
এখন খুব মিস করি ওই দিনগুলো। 🥺
কত সুন্দর গানের কথা।🌸",1,আগে এই গান গুলো বিটিভিতে শুনতাম। এখন খুব মিস করি ওই দিনগুলো। কত সুন্দর গানের কথা।,2025-04-11T14:50:42Z
UgzBkynsB5nsdt_HWUF4AaABAg,"স্নৃতি হিসেবে কমেন্ট রেখে গেলাম।আজ আমি যুবক।হয়তো কমেন্ট আমি বৃদ্ধ বয়সে দেখবো,নয়তো ওপারে চলে যাবো🥰",1,"স্নৃতি হিসেবে কমেন্ট রেখে গেলাম।আজ আমি যুবক।হয়তো কমেন্ট আমি বৃদ্ধ বয়সে দেখবো,নয়তো ওপারে চলে যাবো",2021-09-29T17:13:54Z
UgxI7I7wamTcTDDBzPh4AaABAg,"যারা কমেন্ট  পড়তে আসছেন,তারা একটা করে লাইক করে যান প্লিজ",0,"যারা কমেন্ট পড়তে আসছেন,তারা একটা করে লাইক করে যান প্লিজ",2021-03-25T09:41:46Z
UgyuMmzazz5P-ayHJGd4AaABAg,২০২৪ সালে এসে কে কে আমার মতো এই গানটি শুনতে এসেছেন??শুধুমাত্র তারাই লাইক দেন।,1,২০২৪ সালে এসে কে কে আমার মতো এই গানটি শুনতে এসেছেন??শুধুমাত্র তারাই লাইক দেন।,2024-01-01T03:41:26Z
UgwRmP2umSqd2dCA73t4AaABAg,স্কুল ছুটির পর বাসায় এসে রেডিও তে অনুরোধের আসর এ এই গান গুলো শুনতাম । কি মধুর অতীত!!,1,স্কুল ছুটির পর বাসায় এসে রেডিও তে অনুরোধের আসর এ এই গান গুলো শুনতাম । কি মধুর অতীত!!,2024-10-19T06:56:43Z
UgxN_QLDNa89mCssxVt4AaABAg,এন্ড্রু কিশোরের মতো কণ্ঠশিল্পী বাংলাদেশে আর আসবে না। পরপারে ভালো থাকবেন লিজেন্ড।,1,এন্ড্রু কিশোরের মতো কণ্ঠশিল্পী বাংলাদেশে আর আসবে না। পরপারে ভালো থাকবেন লিজেন্ড।,2025-05-22T11:27:53Z
UgyzGpbvoGWz4upioLN4AaABAg,2023 এ এসেও যারা এই গান শুনছেন শুধুমাত্র তারাই লাইক দিন ❤,1,2023 এ এসেও যারা এই গান শুনছেন শুধুমাত্র তারাই লাইক দিন,2023-08-14T03:28:48Z
UgwP3isSKBOc94QLACl4AaABAg,হঠাৎ করে ২০২৩ সালে এসে গানটা আবার শুনলাম। আসলেই Old is gold❤,1,হঠাৎ করে ২০২৩ সালে এসে গানটা আবার শুনলাম। আসলেই Old is gold,2023-07-30T06:43:35Z
UgwtbKYYMFzPw6aHlSZ4AaABAg,এক সময় ছবি দেখার জন্য একজন আরেক জন কে বলতাম এই একটু মাথাটা নিচে করেন আমি দেখিনা কোথায় গেলো সেই সোনালী অতীত দিন গুলো 💜💜💜,1,এক সময় ছবি দেখার জন্য একজন আরেক জন কে বলতাম এই একটু মাথাটা নিচে করেন আমি দেখিনা কোথায় গেলো সেই সোনালী অতীত দিন গুলো,2021-12-10T19:40:35Z
UgwTBkMQdnIwIIQSU0B4AaABAg,আমরা দুজন সারাজীবন এভাবে গানটা শুনতে পারি এবং অনুভব করতে পারি আল্লাহ তায়ালার নিকট প্রাথনা করি।,1,আমরা দুজন সারাজীবন এভাবে গানটা শুনতে পারি এবং অনুভব করতে পারি আল্লাহ তায়ালার নিকট প্রাথনা করি।,2024-07-04T20:40:31Z
UgwasvowM_MjFiyYkf94AaABAg,"2024 সালে যারা শুনছেন তারা লাইক দিবেন।
স্মৃতি রেখে গেলাম 
আমরা থাকবে না তবে গান গুলো থেকে যাবে।",1,2024 সালে যারা শুনছেন তারা লাইক দিবেন। স্মৃতি রেখে গেলাম আমরা থাকবে না তবে গান গুলো থেকে যাবে।,2024-03-03T15:44:11Z
UgyzHasqP1Mpjw7bV4R4AaABAg,"এক সময় এই ছবি দেখার জন্য 
অনেক মার খেতাম পরিবারের কাছে 
আর মুরুব্বিদের সামনে বসতাম একটু ছায়াছবি দেখার জন্য 
আর কি ফিরে পাবো সেই দিনগুলা 
মিস করি সেই দিনগুলা কে❤️🌹",1,এক সময় এই ছবি দেখার জন্য অনেক মার খেতাম পরিবারের কাছে আর মুরুব্বিদের সামনে বসতাম একটু ছায়াছবি দেখার জন্য আর কি ফিরে পাবো সেই দিনগুলা মিস করি সেই দিনগুলা কে️,2022-06-28T17:10:05Z
UgzvIhAE-c09jbVlhTx4AaABAg,"অতীতে আবার ফিরে যেতে চাই,
অভিশপ্ত  ডিজিটালে থাকতে চাই না",1,"অতীতে আবার ফিরে যেতে চাই, অভিশপ্ত ডিজিটালে থাকতে চাই না",2021-01-16T23:36:46Z
Ugxn7raHSoxcnYynsGp4AaABAg,আমার মতো ২০২২ সালে এসে আগের মতো প্রিয় গানটি শুনতেছেন অনেকেই অবশ্যই  লাইক দিয়ে সবার নজরে আনার অনুরোধ রইলো...... ধন্যবাদ.....🙏🙏🙏🙏🙏🙏🙏🙏🙏  😘😘😘😘😘🇧🇩🇧🇩,1,আমার মতো ২০২২ সালে এসে আগের মতো প্রিয় গানটি শুনতেছেন অনেকেই অবশ্যই লাইক দিয়ে সবার নজরে আনার অনুরোধ রইলো...... ধন্যবাদ.....,2022-01-01T16:10:58Z
UgxbvQR5NghhvXol9bd4AaABAg,2024 সালে কেউ থাকলে সারা দেন,1,2024 সালে কেউ থাকলে সারা দেন,2024-01-13T16:38:37Z
Ugyu_h5BUXL5nVIYk4B4AaABAg,ছোট্ট বেলার আইসক্রিম বিক্রি করতে আসত গ্রামে সাথে এই সুন্দর গান বাজাইতো  গানের আওয়াজ শুনে দৌড়ে চলে যেতাম আইসক্রিম খেতে। সেই সোনালী দিন গুলো  স্মৃতি 🥀🥀,1,ছোট্ট বেলার আইসক্রিম বিক্রি করতে আসত গ্রামে সাথে এই সুন্দর গান বাজাইতো গানের আওয়াজ শুনে দৌড়ে চলে যেতাম আইসক্রিম খেতে। সেই সোনালী দিন গুলো স্মৃতি,2023-06-25T17:36:03Z
