id,text,label,clean_text,reference_time
Ugw_vaj_-f0yXHfCHhp4AaABAg,2019 সালে এসেও জারা এই গানটি শুনছেন  তারাই শুধু লাইক দিবেন ।,-1,2019 সালে এসেও জারা এই গানটি শুনছেন তারাই শুধু লাইক দিবেন ।,2019-02-21T08:39:28Z
UgwFwVNqcqu6IE2e9pR4AaABAg,"খুব খুব ছোট্ট বেলায় এই গান টি শুনেছিলাম তার মানে কিছুই বুঝিনি। 
আজ এই গানের প্রতিটি কথা মনের গভীরে গিয়ে লাগছে",-1,খুব খুব ছোট্ট বেলায় এই গান টি শুনেছিলাম তার মানে কিছুই বুঝিনি। আজ এই গানের প্রতিটি কথা মনের গভীরে গিয়ে লাগছে,2019-08-26T05:56:54Z
UgyS8lCRPAzcUvHFlNV4AaABAg,2025 এ আজও এই গান শুনলে মন এখনো জুড়িয়ে যায় সত্যিকারের গানের মধ্যে জীবনের অনেক মিল আছে সেটা সবাই আমি বুঝতে পারবে না ধন্যবাদ,-1,2025 এ আজও এই গান শুনলে মন এখনো জুড়িয়ে যায় সত্যিকারের গানের মধ্যে জীবনের অনেক মিল আছে সেটা সবাই আমি বুঝতে পারবে না ধন্যবাদ,2025-06-18T15:47:22Z
UgzmO3w7klvVw-dyp614AaABAg,"এখনও যারা পুরাতন গান শুনে,তাদের মনটা অনেক ফ্রেশ,,আমার বিশ্বাস",-1,"এখনও যারা পুরাতন গান শুনে,তাদের মনটা অনেক ফ্রেশ,,আমার বিশ্বাস",2019-04-18T02:14:30Z
UgwkcbYzw0JqV8AqyQd4AaABAg,আমি ভারতের পশ্চিমবঙ্গ থেকে বলছি কুমার শানু আমর পছন্দের শিল্পী ❤️❤️❤️❤️,-1,আমি ভারতের পশ্চিমবঙ্গ থেকে বলছি কুমার শানু আমর পছন্দের শিল্পী ️️️️,2021-05-19T18:37:37Z
UgwC99LXZjpKaNiql9p4AaABAg,২০৫০সালের জন্য রেখে গেলাম জাদের দুঃখের জীবন তারা লাইক দিন,-1,২০৫০সালের জন্য রেখে গেলাম জাদের দুঃখের জীবন তারা লাইক দিন,2021-01-08T11:22:17Z
UgzHslR1mK1G3eMPOVN4AaABAg,2025 সালে এসেও মিস করতেছি এই ছবি গুলি খুব দেখতাম 1997/98 তে,-1,2025 সালে এসেও মিস করতেছি এই ছবি গুলি খুব দেখতাম 1997/98 তে,2025-07-06T09:00:48Z
UgwgjznoHkjldvdqoX94AaABAg,"সত্যি এ জীবন কেন এতো রঙ বদলায়
কখনো কালমেঘ
ঝড়োবেগ",-1,সত্যি এ জীবন কেন এতো রঙ বদলায় কখনো কালমেঘ ঝড়োবেগ,2019-06-21T09:43:42Z
Ugz3l0ARTD25X-Pv9L14AaABAg,১০০ বার শুনেছি তবুও শুন‌তে মন চায়।। আমার মত কেকে আছো ???,-1,১০০ বার শুনেছি তবুও শুনতে মন চায়।। আমার মত কেকে আছো ???,2020-06-27T11:12:47Z
UgwXXM9W-KaOuJ6pXvZ4AaABAg,"অনে সুন্দর একটা গান। যা বারবার শুনতে মন চায়।
আসলেই এই কথা গুলো সত্যি",-1,অনে সুন্দর একটা গান। যা বারবার শুনতে মন চায়। আসলেই এই কথা গুলো সত্যি,2019-03-03T02:35:12Z
Ugzrbbo3LuLAimar6dh4AaABAg,আমার কমেন্টটা দেখে সাত বছর পর আবার‌ও গানটা ইউটিউবে দেখতে আসলাম,-1,আমার কমেন্টটা দেখে সাত বছর পর আবারও গানটা ইউটিউবে দেখতে আসলাম,2025-04-27T15:39:08Z
UgwGsA3cBJJt8cWgNkN4AaABAg,২০১৯ এর জুন মাস। এখনো গানটা যদি ভাল লাগে লাইক মারেন 😍,-1,২০১৯ এর জুন মাস। এখনো গানটা যদি ভাল লাগে লাইক মারেন,2019-06-23T13:53:40Z
Ugy5DrmmMvb7ldQxjU94AaABAg,"প্রিয় তুমি চলে গেছো তাতে দুঃখ নেই। কিন্তুু আমাদের জেনারশনে এইরকম লেভেলের গান আর চাইলেও তৈরি হবে না 🥺😫। যুগ যুগ কেটে যাবে কিন্তুু এইসব গান কনোদিন ও পুরানো হবে না 🖤। 
প্রত্যেকটি গানের লাইনে কত কোটি কোটি ছেলে মেয়ের ইমোশন জরিয়ে আছে সত্যি,। 
কমেন্ট রেখে গেলাম কয়েক যুগ পর্যন্ত , যদি কেউ গানটি শুনতে আসে Like করে Notification🔔পেয়ে আমিও আসবো আবার গানটি শুনতে 🖤🌸💫।",-1,"প্রিয় তুমি চলে গেছো তাতে দুঃখ নেই। কিন্তুু আমাদের জেনারশনে এইরকম লেভেলের গান আর চাইলেও তৈরি হবে না । যুগ যুগ কেটে যাবে কিন্তুু এইসব গান কনোদিন ও পুরানো হবে না । প্রত্যেকটি গানের লাইনে কত কোটি কোটি ছেলে মেয়ের ইমোশন জরিয়ে আছে সত্যি,। কমেন্ট রেখে গেলাম কয়েক যুগ পর্যন্ত , যদি কেউ গানটি শুনতে আসে Like করে Notificationপেয়ে আমিও আসবো আবার গানটি শুনতে ।",2024-10-26T19:36:49Z
UgyxhcDyyJ1cHSr-_G14AaABAg,শ্রেষ্ট ভিলেন থেকে সুপারস্টার নায়ক হওয়া শুধু বাংলাদেশ কেন  পৃথিবীর ইতিহাসে বিরল ।  আর এইটা জসিম বলেই হয়তো সম্ভব হয়েছে  ।,-1,শ্রেষ্ট ভিলেন থেকে সুপারস্টার নায়ক হওয়া শুধু বাংলাদেশ কেন পৃথিবীর ইতিহাসে বিরল । আর এইটা জসিম বলেই হয়তো সম্ভব হয়েছে ।,2020-05-10T20:30:20Z
UgyszontL8jDq14SNrt4AaABAg,কুমার শানুর দ্বারাই এরকম গান গাওয়া সম্ভব,-1,কুমার শানুর দ্বারাই এরকম গান গাওয়া সম্ভব,2019-04-26T21:35:49Z
UgxrUVeccCA_rQSpZdh4AaABAg,বাংলার একজন কৃতি নায়ক জসিম।।অসম্ভব ভালো অভিনয় এরকম অভিনেতার দ্বারাই সম্ভব.?,-1,বাংলার একজন কৃতি নায়ক জসিম।।অসম্ভব ভালো অভিনয় এরকম অভিনেতার দ্বারাই সম্ভব.?,2019-03-26T02:12:59Z
UgxYheglL6ODIHl1Rcd4AaABAg,এটা আমাদের দেশের শিল্পী 'কুমার শানু' স‍্যারের গান❤️,-1,এটা আমাদের দেশের শিল্পী 'কুমার শানু' স্যারের গান️,2020-02-14T10:22:07Z
UgwXyTqAzRyF527nibh4AaABAg,"গানটা যে মন খারাপ থাকলেই শুনতে ভাল লাগে এমন নয়, গায়কী লিরিক্স প্রেসেন্টেশান সব মিলিয়েই গানটা অসাধারন .....",-1,"গানটা যে মন খারাপ থাকলেই শুনতে ভাল লাগে এমন নয়, গায়কী লিরিক্স প্রেসেন্টেশান সব মিলিয়েই গানটা অসাধারন .....",2025-05-27T03:32:05Z
UgwaQxPTkCJl8VrVCQ94AaABAg,"প্রিয় মানুষটির সাথে কতো দুষ্টুমি 
কতো পাগলামী
 কতো 
রাগ অভিমান করেছি,,
আজ সেই স্মৃতি মনে পড়ে গেলো,,
আর ঐ মানুষটি ওপার থেকে দেখবে আমি 
আজও তার অপেক্ষায় একাই রয়ে গেলাম ❤❤প্রিয় লাফুত ❤❤❤",-1,"প্রিয় মানুষটির সাথে কতো দুষ্টুমি কতো পাগলামী কতো রাগ অভিমান করেছি,, আজ সেই স্মৃতি মনে পড়ে গেলো,, আর ঐ মানুষটি ওপার থেকে দেখবে আমি আজও তার অপেক্ষায় একাই রয়ে গেলাম প্রিয় লাফুত",2024-12-24T06:16:20Z
UgwhDuVDmh-yzRRq1VR4AaABAg,"আমি মনে করি, এই গানের এক একটা শব্দ, যাঁরা কঠিন বাস্তবতার সাথে লড়াই করে বেঁচে আছেন তাঁদের জীবনের সঙ্গে ওতোপ্রোতভাবে মিল রয়েছে।  ঠিক আমারও।",-1,"আমি মনে করি, এই গানের এক একটা শব্দ, যাঁরা কঠিন বাস্তবতার সাথে লড়াই করে বেঁচে আছেন তাঁদের জীবনের সঙ্গে ওতোপ্রোতভাবে মিল রয়েছে। ঠিক আমারও।",2022-05-16T17:10:55Z
UgwPVD862R4U2tlns7x4AaABAg,"শ্রদ্বা ও ভালোবাসা আজীবন,,,, বাংলাদেশের সূর্য সন্তান বীর মুক্তিযোদ্ধা প্রিয় জসীম।",-1,"শ্রদ্বা ও ভালোবাসা আজীবন,,,, বাংলাদেশের সূর্য সন্তান বীর মুক্তিযোদ্ধা প্রিয় জসীম।",2023-02-15T06:10:11Z
UgzFHM7ou02hwC5U-e14AaABAg,"গানটিতে প্রতিটি মানুষের বাস্তব জীবনের প্রতিচ্ছবি। ডিসেম্বর ২০২৫ এ এসে শুনলাম, স্মৃতি রেখে গেলাম, শুনতে আসলে রিয়েক্ট দিবেন। আবার শুনবো।",-1,"গানটিতে প্রতিটি মানুষের বাস্তব জীবনের প্রতিচ্ছবি। ডিসেম্বর ২০২৫ এ এসে শুনলাম, স্মৃতি রেখে গেলাম, শুনতে আসলে রিয়েক্ট দিবেন। আবার শুনবো।",2025-12-06T04:17:09Z
UgzgjfT06OcWAZ6gswV4AaABAg,২৪বছর বয়সে এসে এই গানের গভীরতা বোঝা খুবই গুরুত্বপূর্ণ ❤️,-1,২৪বছর বয়সে এসে এই গানের গভীরতা বোঝা খুবই গুরুত্বপূর্ণ ️,2021-11-30T10:13:08Z
UgwoIDfpPqNRxaqPEFl4AaABAg,"প্রিয় মানুষটির অনুপস্থিতিতে একমাত্র সেই কাঁদে,যে তার প্রিয়জনকে সার্থ ছাড়া একসমুদ্র ভালোবাসে 🙂💔",-1,"প্রিয় মানুষটির অনুপস্থিতিতে একমাত্র সেই কাঁদে,যে তার প্রিয়জনকে সার্থ ছাড়া একসমুদ্র ভালোবাসে",2023-03-10T16:11:23Z
UgzFYfZzbBgiQDZoH5J4AaABAg,জসিম বাংলাদেশের সেরা নায়ক,-1,জসিম বাংলাদেশের সেরা নায়ক,2018-12-24T08:46:37Z
UgyEQtZuqgCyi-iL6Jd4AaABAg,"এই গানটা প্রায় শুনি, গানটি শুনতে খুবই  ভালো লাগে ,আজ আবারো শুনলাম-20.11.2025 
আজ অনেক কষ্টের মাঝে গানটি শুনছি 
আজ রাতে ঘুমাবোনা প্রতিজ্ঞা করেছি 
কোন একজন কথা দিয়েছিলো আসবে দেখা করবে,আসেনি তাই তার জন্য উৎসর্গ আজকের রাত, তাকে বলেছিলাম তুমি যদি আজ একটু আদর না দাও তাহলে ঘুমাবোনা ।",-1,"এই গানটা প্রায় শুনি, গানটি শুনতে খুবই ভালো লাগে ,আজ আবারো শুনলাম-20.11.2025 আজ অনেক কষ্টের মাঝে গানটি শুনছি আজ রাতে ঘুমাবোনা প্রতিজ্ঞা করেছি কোন একজন কথা দিয়েছিলো আসবে দেখা করবে,আসেনি তাই তার জন্য উৎসর্গ আজকের রাত, তাকে বলেছিলাম তুমি যদি আজ একটু আদর না দাও তাহলে ঘুমাবোনা ।",2025-11-20T16:19:01Z
UgyAaL639ak_SX3FbTp4AaABAg,"১৯৯০ সনের গান সর্বশ্রেঠ আমারা গর্ব করছি,  ২০২০ সনে কন্টেন্ট করে গেলাম  ২৫২০ সনে যারা দেখবে আফসোস করবে  তোমরা নিশ্চিত, তোমাদের যুগের জন্য, কিন্তু থাকবো না  দুনিয়ায় আমরা, 😢😢😊😊😮",-1,"১৯৯০ সনের গান সর্বশ্রেঠ আমারা গর্ব করছি, ২০২০ সনে কন্টেন্ট করে গেলাম ২৫২০ সনে যারা দেখবে আফসোস করবে তোমরা নিশ্চিত, তোমাদের যুগের জন্য, কিন্তু থাকবো না দুনিয়ায় আমরা,",2024-05-22T15:12:11Z
UgxyuNvhdbfmkAAL8c14AaABAg,জীবনের বাস্তব চিত্র ফুটে উঠেছে এই গানটির মধ্যে,-1,জীবনের বাস্তব চিত্র ফুটে উঠেছে এই গানটির মধ্যে,2019-03-14T17:47:27Z
UgwgFq4Cp5Dt2aYMLT94AaABAg,😅😅😅😅 এই গানটা আমার খুব পছন্দের ছিল একদিন হঠাৎ শুনতে পায় আমি যার ভালোবাসি তারও খুব পছন্দের ছিল 😢😢😢😢😢।আমি তো তার জন্য শুনি 😅সে কার জন্য শুনে এটা আমার জানা নাই 😂😂😂,-1,এই গানটা আমার খুব পছন্দের ছিল একদিন হঠাৎ শুনতে পায় আমি যার ভালোবাসি তারও খুব পছন্দের ছিল ।আমি তো তার জন্য শুনি সে কার জন্য শুনে এটা আমার জানা নাই,2025-09-13T07:53:08Z
UgzzvC-P1_HICzYLHUZ4AaABAg,"আমি একজন ইন্ডিয়ান তবু আমি বাংলাদেশের নায়ক  জসিম কে খুব ভালোবাসি 
তুমি ওমর ওমর",-1,আমি একজন ইন্ডিয়ান তবু আমি বাংলাদেশের নায়ক জসিম কে খুব ভালোবাসি তুমি ওমর ওমর,2018-09-15T21:19:54Z
UgxFMUeX8rOlDaxNHJ54AaABAg,এ জীবন সত্যি বার বার রং বদলায় 😢😢,-1,এ জীবন সত্যি বার বার রং বদলায়,2023-08-07T16:27:58Z
Ugy86ozkawXutEj--rV4AaABAg,"যতই সুখ চায়
ততই ব্যাথা পায়.....   সেরা লাইন 😊",-1,যতই সুখ চায় ততই ব্যাথা পায়..... সেরা লাইন,2022-09-04T02:44:49Z
UgyH4MmsV2_bKfoul-F4AaABAg,গানটা শুনলে মনে হয় ১৯৯৭ সালের রোযা ঈদের আনন্দ উপভোগ করতে আঁখি হলে আছি,-1,গানটা শুনলে মনে হয় ১৯৯৭ সালের রোযা ঈদের আনন্দ উপভোগ করতে আঁখি হলে আছি,2025-05-09T16:57:25Z
Ugz78naIabcwRJNNXih4AaABAg,২০২২ সালে কে কে এই গানটি শুনছেন এবং আমার মতো comment পড়তে এসেছেন লাইক দিয়ে সাথে থাকেন।ধ্যানবাদ🌹❤️🌹,-1,২০২২ সালে কে কে এই গানটি শুনছেন এবং আমার মতো comment পড়তে এসেছেন লাইক দিয়ে সাথে থাকেন।ধ্যানবাদ️,2021-12-19T08:57:35Z
UgyCWrum7N-oVPFFcZt4AaABAg,জীবন টা অকেন কষ্ট হলে এই গান টা শুনতে চাই লে নিজের জীবনের কথা মনে পড়ে যায়,-1,জীবন টা অকেন কষ্ট হলে এই গান টা শুনতে চাই লে নিজের জীবনের কথা মনে পড়ে যায়,2019-05-27T16:30:48Z
Ugy-OBYvqH_lo6odVLh4AaABAg,"যত দুখের কষ্টের মাঝেও ছিলেন 
জসিম সাহেব বাংলা চলচ্চিত্রের নাম্বার ১",-1,যত দুখের কষ্টের মাঝেও ছিলেন জসিম সাহেব বাংলা চলচ্চিত্রের নাম্বার ১,2021-10-19T05:48:06Z
UgzrkO6sbiwLDAe0ELd4AaABAg,সারা জীবন মানুষের সব থেকে প্রিয় গানের ভিতরে থাকে যাবে এই গান,-1,সারা জীবন মানুষের সব থেকে প্রিয় গানের ভিতরে থাকে যাবে এই গান,2025-10-22T02:45:52Z
UgzzSaFl40mKACw2nuF4AaABAg,শিল্প এবং শিল্পীর কোনো জাত বর্ণ ধর্ম হয়ে না।এটা আবারও এই গান টার মধ্যে দিয়ে প্রমান হয়ে গেল।ভারত আর বাংলাদেশ মিলেমিশে একাকার হয়ে গেল এই গানের মধ্যে দিয়ে।100 বছর পরেও এই গান অমর হয়ে থেকে যাবে।,-1,শিল্প এবং শিল্পীর কোনো জাত বর্ণ ধর্ম হয়ে না।এটা আবারও এই গান টার মধ্যে দিয়ে প্রমান হয়ে গেল।ভারত আর বাংলাদেশ মিলেমিশে একাকার হয়ে গেল এই গানের মধ্যে দিয়ে।100 বছর পরেও এই গান অমর হয়ে থেকে যাবে।,2020-08-04T19:03:28Z
UgwoCcZsI4eULdKcxIh4AaABAg,স্মৃতি হিসেবে রেখে গেলাম এই কমেন্টটি। ২০২৫ সালের আমি গানটা দেখলাম কেউ যদি আরো দেখেন তাহলে লাইক দিয়ে যাইয়েন। নোটিফিকেশন পাওয়ার সাথে সাথে দেখতে চলে আসবো।😊😊😊,-1,স্মৃতি হিসেবে রেখে গেলাম এই কমেন্টটি। ২০২৫ সালের আমি গানটা দেখলাম কেউ যদি আরো দেখেন তাহলে লাইক দিয়ে যাইয়েন। নোটিফিকেশন পাওয়ার সাথে সাথে দেখতে চলে আসবো।,2025-04-19T10:34:46Z
UgygkekhGEaE03d8VH54AaABAg,সেই ছোট্ট বেলায় রেডিওতে শুনতাম।২০০৪ সালের দিকে রেডিওতে প্রায়‌ই দিত এই গান।আজ ২০২৩ সালে এসেও ইউটিউব দেখি। আহা এই গানের সাথে ক‌ত‌ই সৃতি জড়িয়ে আছে। অসাধারণ একটি গান ❤,-1,সেই ছোট্ট বেলায় রেডিওতে শুনতাম।২০০৪ সালের দিকে রেডিওতে প্রায়ই দিত এই গান।আজ ২০২৩ সালে এসেও ইউটিউব দেখি। আহা এই গানের সাথে কতই সৃতি জড়িয়ে আছে। অসাধারণ একটি গান,2023-09-24T05:53:29Z
UgwkuhMT6l9SKEhOWgZ4AaABAg,"জীবনের প্রথম বাউফল স্বপন সিনেমা হলে মামাতো বশির ভাই তার সাইকেলের পিছনে বসিয়ে নিয়ে গিয়ে এই সিনেমা দেখান,,, ক্লাস ২/৩ পড়ি সম্ভবত,,,,, আজও মনে পরে ছোটবেলা স্মৃতি,,,,,,,",-1,"জীবনের প্রথম বাউফল স্বপন সিনেমা হলে মামাতো বশির ভাই তার সাইকেলের পিছনে বসিয়ে নিয়ে গিয়ে এই সিনেমা দেখান,,, ক্লাস ২/৩ পড়ি সম্ভবত,,,,, আজও মনে পরে ছোটবেলা স্মৃতি,,,,,,,",2025-09-18T16:02:00Z
UgxmuFIWl_vbHbbi1NV4AaABAg,আমি ভারতীয়। এটা কুমার শানুর কন্ঠের   গান।,-1,আমি ভারতীয়। এটা কুমার শানুর কন্ঠের গান।,2018-12-29T15:08:09Z
Ugwp8LSY4VAvrRv3QgJ4AaABAg,ভালো লাগর মতো গান এগূলো আমি জানি গান গূলো যে কতো কিছু বলে যা সবার জন্য নয় ❤❤❤,-1,ভালো লাগর মতো গান এগূলো আমি জানি গান গূলো যে কতো কিছু বলে যা সবার জন্য নয়,2025-08-13T21:28:02Z
UgxPiC9dFYaCXBvtb614AaABAg,কুমার শানু বাংলাদেশী সিনেমায় যতগুলি গান গেয়েছেন সবগুলোই হিট।,-1,কুমার শানু বাংলাদেশী সিনেমায় যতগুলি গান গেয়েছেন সবগুলোই হিট।,2023-01-19T21:53:19Z
Ugz447cIANiVgh5-2oV4AaABAg,যারা প্রেমের নামে ছলনা করে তাদের কারনে জীবনের রং বদলায় 😭😭,-1,যারা প্রেমের নামে ছলনা করে তাদের কারনে জীবনের রং বদলায়,2020-11-29T06:36:42Z
UgyWu819OnsZlaPo9z94AaABAg,"ওহ! ২৭ মিলিয়ন! 
হাবিজাবি গানের মিলিয়ন মিলিয়ন ভিউ আমাকে আনন্দ দেয় না এসব জীবনমুখী গানের মিলিয়ন ভিউ আমাকে আনন্দ দেয়। 
জসিম...♥",-1,ওহ! ২৭ মিলিয়ন! হাবিজাবি গানের মিলিয়ন মিলিয়ন ভিউ আমাকে আনন্দ দেয় না এসব জীবনমুখী গানের মিলিয়ন ভিউ আমাকে আনন্দ দেয়। জসিম...,2020-11-07T17:54:36Z
UgzLL76NLYvXfeQRKNt4AaABAg,31 বছর বয়সে এসে জীবনের সাথে মিলে গেলো গান এর লাইন গুলো  ।,-1,31 বছর বয়সে এসে জীবনের সাথে মিলে গেলো গান এর লাইন গুলো ।,2025-06-25T15:44:35Z
Ugz7T3e2M_g7Fn-iAt94AaABAg,"২০২৪ সালে এসেও যারা গানটি শুনছেন তারা একটি করে লাইক দিয়ে যান 🆗🙏😌
Legend গুলোকে দেখতে চাই ❤😢💝",-1,২০২৪ সালে এসেও যারা গানটি শুনছেন তারা একটি করে লাইক দিয়ে যান Legend গুলোকে দেখতে চাই,2024-02-02T16:35:30Z
UgwItuo3qAr8-QP-f314AaABAg,যারা আমার তো এই গানটি ২০২৫ এ এসে শুনছেন তাদের রুচির প্রতি শ্রদ্ধাশীল সম্মান ❤❤,-1,যারা আমার তো এই গানটি ২০২৫ এ এসে শুনছেন তাদের রুচির প্রতি শ্রদ্ধাশীল সম্মান,2025-06-22T18:14:31Z
UgzsbX_V0Vj-_hsPsFF4AaABAg,এই গান টা ছোটো কালে শুনছি তকন ওনেক ভালো লাগচে এখন তার চেও ভালো লাগে,-1,এই গান টা ছোটো কালে শুনছি তকন ওনেক ভালো লাগচে এখন তার চেও ভালো লাগে,2019-02-02T03:32:26Z
Ugy3HKc6HSITsLFHnzZ4AaABAg,কুমার শানু কালজয়ী গায়ক। এই গানগুলোর মৃত্যু হবে না! ক্লাসিক্যাল গান।,-1,কুমার শানু কালজয়ী গায়ক। এই গানগুলোর মৃত্যু হবে না! ক্লাসিক্যাল গান।,2022-07-30T15:20:57Z
UgyWQUcqYxZGMMVpLNp4AaABAg,আমার নিজের জিবন টা ও এখন জসিম এর মত হয়েগেছে 😭😭সত্যিই মাজে মধ্যে খুব বেশি মিস করি ( জসিম + শাবানা ) 😭,-1,আমার নিজের জিবন টা ও এখন জসিম এর মত হয়েগেছে সত্যিই মাজে মধ্যে খুব বেশি মিস করি ( জসিম + শাবানা ),2019-09-13T15:38:45Z
UgzPYXmSdevDwPFNwsB4AaABAg,কুমার শানু গানটা অমর হয়ে থাকবে   লালবাহাদুর বিরোশ বাগ্দী🙏💯,-1,কুমার শানু গানটা অমর হয়ে থাকবে লালবাহাদুর বিরোশ বাগ্দী,2025-05-24T17:42:06Z
