id,text,label,clean_text,reference_time
UgxNaeIAb7y-Kb74bct4AaABAg,২৫ শেষ হওয়ার আগে আর ও একবার শুনতেছি,1,২৫ শেষ হওয়ার আগে আর ও একবার শুনতেছি,2025-12-18T15:43:14Z
UgyqZnidUPdYjI4V2bN4AaABAg,অনেক আগে শুনছিলাম আবার শুনার জন্য আসলাম,1,অনেক আগে শুনছিলাম আবার শুনার জন্য আসলাম,2022-12-21T14:19:22Z
Ugxt7eyijO7RDkJj4aR4AaABAg,আজ থেকে পনেরো বছর আগে জখন সুনতাম আমার অনেক প্রিয় গান ছিল এই শিল্পীর গান গুলো,1,আজ থেকে পনেরো বছর আগে জখন সুনতাম আমার অনেক প্রিয় গান ছিল এই শিল্পীর গান গুলো,2023-05-20T16:28:18Z
UgxvHN7Yy3iG-THsYgh4AaABAg,"২০২৩/১/১ রাত ১;৩৬ শুনতেছি,,মনে খুব কষ্ট,,ভালোবাসার মানুষকে হারিয়ে,,",1,"২০২৩/১/১ রাত ১;৩৬ শুনতেছি,,মনে খুব কষ্ট,,ভালোবাসার মানুষকে হারিয়ে,,",2023-01-01T19:36:22Z
Ugz_nAZXskX3kbtcgGN4AaABAg,মিস লিটন গান টি প্রকৃতি ভাবে তুলে ধরেছে এই জন্য ধন্যবাদ,1,মিস লিটন গান টি প্রকৃতি ভাবে তুলে ধরেছে এই জন্য ধন্যবাদ,2019-04-27T03:35:56Z
UgzkjV6IEMhnDEVKvHV4AaABAg,১১ বছর আগে গান টা মামার ফোনে  সুনছিলাম আর এখন নিজের ফোনেই সুনি,1,১১ বছর আগে গান টা মামার ফোনে সুনছিলাম আর এখন নিজের ফোনেই সুনি,2022-07-11T15:44:26Z
UgxVhePkByWP78ngk8l4AaABAg,ছোট বেলায় শুনছিলাম বাটন মোবাইল এ এখন আবার শুনতেছি,1,ছোট বেলায় শুনছিলাম বাটন মোবাইল এ এখন আবার শুনতেছি,2023-02-13T17:58:17Z
UgzZN_QmySmm1BCZykx4AaABAg,"এি গানটা শুনলে মনটা ভরে যায়, কেন জানি ভালো লাগে , ছোটবেলায় যখন বাটন ফোন চালাইতাম তখন থেকে গানটা শুনতাম, এখনো শুনলে বেশ ভালো লাগে, এবং সময় গুলো র কথা মনে পরে যায় ❤️",1,"এি গানটা শুনলে মনটা ভরে যায়, কেন জানি ভালো লাগে , ছোটবেলায় যখন বাটন ফোন চালাইতাম তখন থেকে গানটা শুনতাম, এখনো শুনলে বেশ ভালো লাগে, এবং সময় গুলো র কথা মনে পরে যায় ️",2024-01-26T20:18:38Z
Ugx2LoWG4lFV5xeYczZ4AaABAg,2025... সালে কে কে শুনছো,1,2025... সালে কে কে শুনছো,2025-02-07T05:19:51Z
UgxOddeW1zgyCBDsosh4AaABAg,অনেক সুন্দর গান হৃদয় ছোয়া গান,1,অনেক সুন্দর গান হৃদয় ছোয়া গান,2019-10-27T15:19:57Z
UgyLzAqIVFpWUoHbc0B4AaABAg,গানটা আমার মনে রাখতে হবে,1,গানটা আমার মনে রাখতে হবে,2021-10-29T09:02:29Z
Ugz-21SkHp3YkqgunvJ4AaABAg,"গান গুলো থেকেই যাবে,,,😭",1,"গান গুলো থেকেই যাবে,,,",2022-12-27T05:28:01Z
UgybYERebbmYbEKeD7R4AaABAg,২০২০ সালে কে কে এই গান টা দেখছেন শুধু তারা লাইক দিয়ে যান!!!👍👍,0,২০২০ সালে কে কে এই গান টা দেখছেন শুধু তারা লাইক দিয়ে যান!!!,2020-04-16T15:11:56Z
UgylK7Vgls4bX7XY9-Z4AaABAg,ভাই শাকিব খান আজ এমনি এমনি মেগা স্টার হয়নি। অনেক পরিশ্রম করে আসছে। কিছু কিছু পাগল ছাগল বুজে না,1,ভাই শাকিব খান আজ এমনি এমনি মেগা স্টার হয়নি। অনেক পরিশ্রম করে আসছে। কিছু কিছু পাগল ছাগল বুজে না,2025-11-09T15:35:57Z
Ugyae6lebYGXQnfqUvV4AaABAg,পাঁচ বছর আগে শুনছিলাম আবার এখন শুনতাছি ভালোই লাগে এবং তার কথাটাও মনে পরে গেলো,1,পাঁচ বছর আগে শুনছিলাম আবার এখন শুনতাছি ভালোই লাগে এবং তার কথাটাও মনে পরে গেলো,2023-01-13T18:24:19Z
Ugx-LB5dtUsJbeRUX0B4AaABAg,১২ বছর পর আবার এই গান,1,১২ বছর পর আবার এই গান,2023-01-23T11:06:21Z
UgzlGhp2TLa7qjoyBZV4AaABAg,1/1/2024 আমার তুমি টাকে মনে পড়ে গেছিলো 😢,1,1/1/2024 আমার তুমি টাকে মনে পড়ে গেছিলো,2024-01-01T15:05:52Z
UgzLZp4zFPpdAFoykNV4AaABAg,দারুন যেমন ভিডিও তেমন গান আমি জীবনে প্রথম শুনলাম মিস লিটনের গান।,0,দারুন যেমন ভিডিও তেমন গান আমি জীবনে প্রথম শুনলাম মিস লিটনের গান।,2022-10-06T07:51:12Z
Ugw4I8WynHaH2BueLUN4AaABAg,যার কারণে আমার জীবন  শেষ করলাম আজও তারে পাইলাম না কারন সে আমার থেকে অনেক দূরে খোজে পাইলাম না ❤❤,1,যার কারণে আমার জীবন শেষ করলাম আজও তারে পাইলাম না কারন সে আমার থেকে অনেক দূরে খোজে পাইলাম না,2025-12-19T09:04:41Z
Ugw-0vYkb9BzRhG53l54AaABAg,আমি আবুধাবিতে থাকি কিন্তু গান গুলো সুনে  মনে হয় একজন ভালো মনের মানুষের দরকার,1,আমি আবুধাবিতে থাকি কিন্তু গান গুলো সুনে মনে হয় একজন ভালো মনের মানুষের দরকার,2019-02-28T18:27:37Z
UgxHMHFMMjRyCIWlJ_p4AaABAg,সেরা শিল্পী মিস লিটন,0,সেরা শিল্পী মিস লিটন,2023-01-05T16:28:46Z
UgxEK1wfsZJNOuGQh-p4AaABAg,খুব সুন্দর গানটা আমার মন ভরে গেছে গানটা শুনে 👍👍👍❤️❤️❤️,1,খুব সুন্দর গানটা আমার মন ভরে গেছে গানটা শুনে ️️️,2022-01-18T09:23:49Z
