id,text,label,clean_text,reference_time
UgyiAlWjMec23MIY-9d4AaABAg,প্রতিটা মানুষের জীবনে একটা গল্প থাকে যেটা এই গানের সাথে মিলে যায়,1,প্রতিটা মানুষের জীবনে একটা গল্প থাকে যেটা এই গানের সাথে মিলে যায়,2025-08-04T10:41:40Z
UgzCQ_T1VKncc6j8yvd4AaABAg,এই গান গুলো যারা শোনে তারাও লিজেন্ড।,1,এই গান গুলো যারা শোনে তারাও লিজেন্ড।,2021-08-15T20:11:43Z
UgxzaCaHZ1O7giAIEMN4AaABAg,আমার জীবনে দেখা শ্রেষ্ঠ মুভি মনপোড়া আর এটাই থাকবে❤,1,আমার জীবনে দেখা শ্রেষ্ঠ মুভি মনপোড়া আর এটাই থাকবে,2023-05-27T18:34:04Z
UgyePYLQf1xE3_--_mB4AaABAg,"তোমাকে পেয়ে গেলে হয়তো এতো সুন্দর একটা গান, শোনা হতো না প্রিয় 😇 স্মৃতি রেখে গেলাম 🙃 যূগ যূগ ধরে মানুষ যখন এই গানটি শুনতে আসবে তখন কেউ like দিলে notification পেয়ে আমিও আবার শুনতে আসবো প্রিয় এই গানটা। 😇❣🌺Mamun Hawlader",1,"তোমাকে পেয়ে গেলে হয়তো এতো সুন্দর একটা গান, শোনা হতো না প্রিয় স্মৃতি রেখে গেলাম যূগ যূগ ধরে মানুষ যখন এই গানটি শুনতে আসবে তখন কেউ like দিলে notification পেয়ে আমিও আবার শুনতে আসবো প্রিয় এই গানটা। Mamun Hawlader",2023-02-14T19:29:26Z
UgxOlULCTedFbFGBIN14AaABAg,"স্মৃতি রেখে গেলাম,যুগ যুগ ধরে মানুষ যখন এই গানটি শুনতে আসবে,তখন কেউ লাইক দিলে নোটিফিকেশন পেয়ে আমিও আবার শুনতে  আসবো এই হৃদয় ছোয়া গানটি🥀🙂",1,"স্মৃতি রেখে গেলাম,যুগ যুগ ধরে মানুষ যখন এই গানটি শুনতে আসবে,তখন কেউ লাইক দিলে নোটিফিকেশন পেয়ে আমিও আবার শুনতে আসবো এই হৃদয় ছোয়া গানটি",2023-07-05T03:02:09Z
UgwGD13zyS7ubhMfqi14AaABAg,"রাতে ঘুম না আসলে এ গান গুলা শুনি ,  ২০০০ সাল থেকে ২০২২ সাল পর্যন্ত জীবনে কি পেয়েছি আর কি হারাইছি তা চোখের এক এক করে চোখের সামনে আশে, ইচ্ছা মত কান্না করি,   একটা কথাই বলবো ওল্ড ইজ গোল্ড",1,"রাতে ঘুম না আসলে এ গান গুলা শুনি , ২০০০ সাল থেকে ২০২২ সাল পর্যন্ত জীবনে কি পেয়েছি আর কি হারাইছি তা চোখের এক এক করে চোখের সামনে আশে, ইচ্ছা মত কান্না করি, একটা কথাই বলবো ওল্ড ইজ গোল্ড",2023-03-10T13:42:12Z
UgwA8KT_ckbpFJlLcl94AaABAg,সমস্ত টিমকে অনেক অনেক ধন্যবাদ এতো সুন্দর একটি সিনেমা দেওয়া র জন্য 🇮🇳🇮🇳🇮🇳🇮🇳,1,সমস্ত টিমকে অনেক অনেক ধন্যবাদ এতো সুন্দর একটি সিনেমা দেওয়া র জন্য,2021-12-14T08:56:56Z
UgyFUG6cUM0GRYgrQyl4AaABAg,"কিছু গান থাকে অমর! 
এই গানগুলো সেই তালিকার উপরের দিকে থাকবে। 

ভালোবাসার চিহ্ন রেখে গেলাম!

সিলেট 💜🔥",1,কিছু গান থাকে অমর! এই গানগুলো সেই তালিকার উপরের দিকে থাকবে। ভালোবাসার চিহ্ন রেখে গেলাম! সিলেট,2024-02-18T16:33:04Z
UgxcCCW3eJNt52lZZXN4AaABAg,"অনেক সুন্দর একটা সিনেমা,,,দেখে চোখে পানি চলে আসছে😭😭",1,"অনেক সুন্দর একটা সিনেমা,,,দেখে চোখে পানি চলে আসছে",2021-08-20T11:06:07Z
UgyFJEz2fPkGFz-ydFp4AaABAg,"২০০৯ সালে যাকে নিয়ে ছবিটি দেখেছিলাম  সে আজ পাশে নেই, তবুও স্মৃতিতে",1,"২০০৯ সালে যাকে নিয়ে ছবিটি দেখেছিলাম সে আজ পাশে নেই, তবুও স্মৃতিতে",2023-03-27T08:37:22Z
UgzfrCSE-nWTrop3FQ14AaABAg,আমার খুব ভালো লাগে কিন্তু আমি তোমাকে অনেক ভালোবাসি জান 😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢,1,আমার খুব ভালো লাগে কিন্তু আমি তোমাকে অনেক ভালোবাসি জান,2025-02-14T14:13:30Z
UgzBkUyeRIgC_J6oe1F4AaABAg,ভোলার মনপোড়া দ্বীপ।আহা যদি পারতাম নদীর তীরবর্তী গ্রামে জিবন টা অতিবাহিত করতে।🥀😍,1,ভোলার মনপোড়া দ্বীপ।আহা যদি পারতাম নদীর তীরবর্তী গ্রামে জিবন টা অতিবাহিত করতে।,2023-02-18T04:24:45Z
